Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1110,0.0,0.0,0.0,3610.4926956721783,3610.4926956721783
t1111,0.0,0.0,0.0,4450.357273615392,4450.357273615392
t1112,0.0,0.0,0.0,-0.0,0.0
t1113,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1114,0.0,0.0,0.0,1394.6498439702743,1394.6498439702743
t1115,0.0,0.0,0.0,8181.584882875481,8181.584882875481
t1116,0.0,0.0,0.0,1872.593221018561,1872.593221018561
t1117,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1118,0.0,0.0,0.0,5695.019501388886,5695.019501388886
t1119,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1120,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1121,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1122,0.0,0.0,0.0,4746.78869135908,4746.78869135908
t1123,0.0,0.0,0.0,-0.0,0.0
t1124,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1125,0.0,0.0,0.0,5843.632138724629,5843.632138724629
t1126,0.0,0.0,0.0,2524.677566746497,2524.677566746497
t1127,0.0,0.0,0.0,3635.024544227222,3635.024544227222
t1128,0.0,0.0,0.0,3933.4016203106767,3933.4016203106767
t1129,0.0,0.0,0.0,6849.115693922809,6849.115693922809
t1130,0.0,0.0,0.0,1413.8035131503761,1413.8035131503761
t1131,0.0,0.0,0.0,6857.1671564028975,6857.1671564028975
t1132,0.0,0.0,0.0,4553.396061105232,4553.396061105232
t1133,0.0,0.0,0.0,5217.606490872912,5217.606490872912
t1134,0.0,0.0,0.0,1621.3372182222745,1621.3372182222745
t1135,0.0,0.0,0.0,985.5103690217649,985.5103690217649
t1136,0.0,0.0,0.0,1577.3350947210174,1577.3350947210174
t1137,0.0,0.0,0.0,3623.953984568817,3623.953984568817
t1138,0.0,0.0,0.0,5264.111505701645,5264.111505701645
t1139,0.0,0.0,0.0,6060.758989360579,6060.758989360579
t1140,0.0,0.0,0.0,8502.86108146534,8502.86108146534
t1141,0.0,0.0,0.0,7057.7488760166525,7057.7488760166525
t1142,0.0,0.0,0.0,6992.9767724697585,6992.9767724697585
t1143,0.0,0.0,0.0,6199.889215905212,6199.889215905212
t1144,0.0,0.0,0.0,3779.622347162628,3779.622347162628
t1145,0.0,0.0,0.0,696.5750658414436,696.5750658414436
t1146,0.0,0.0,0.0,-0.0,0.0
t1147,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1148,0.0,0.0,0.0,8352.449682958895,8352.449682958895
t1149,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1150,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1151,0.0,0.0,0.0,-0.0,0.0
t1152,0.0,0.0,0.0,-0.0,0.0
t1153,0.0,0.0,0.0,-0.0,0.0
t1154,0.0,0.0,0.0,6182.831373899889,6182.831373899889
t1155,0.0,0.0,0.0,221.8757941740721,221.8757941740721
t1156,0.0,0.0,0.0,8891.955916159208,8891.955916159208
t1157,0.0,0.0,0.0,1843.0953584923175,1843.0953584923175
t1158,0.0,0.0,0.0,7230.260419338917,7230.260419338917
t1159,0.0,0.0,0.0,4156.662827889541,4156.662827889541
t1160,0.0,0.0,0.0,4364.948512352574,4364.948512352574
t1161,0.0,0.0,0.0,5385.2591674929245,5385.2591674929245
