BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t199,23951.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-14872.0
t200,6703.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15783.0
t201,24931.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-15852.0
t202,17383.76954155627,3725.9910233959386,-5353.760564952206,0.0,0.0,0.0,0.0,0.0,0.0,-15756.0
t203,17671.610969534737,3535.5703094067035,-5544.18127894144,0.0,0.0,0.0,0.0,0.0,0.0,-15663.0
t204,18341.40723161991,3131.1721783641174,-5948.579409984026,0.0,0.0,0.0,0.0,0.0,0.0,-15524.0
t205,20476.191665115104,1916.27996161652,-7163.4716267316235,0.0,0.0,0.0,0.0,0.0,0.0,-15229.0
t206,21616.986211954227,1231.8826881969578,-7847.868900151186,0.0,0.0,0.0,0.0,0.0,0.0,-15001.0
t207,20522.068121422308,1643.3417334629175,-7436.409854885226,0.0,0.0,0.0,0.0,0.0,0.0,-14729.0
t208,15961.948364486292,3874.901611930926,-5204.8499764172175,0.0,0.0,0.0,0.0,0.0,0.0,-14632.0
t209,15736.334620867783,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-14981.0
t210,16969.334620867783,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-16213.999999999998
t211,7648.248411651858,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16728.0
t212,7334.248411651858,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16414.0
t213,21553.14000018603,1678.8057940810565,-7400.945794267087,0.0,0.0,0.0,0.0,0.0,0.0,-15831.0
t214,7890.248323930436,8003.751632208853,-1075.99995613929,0.0,0.0,0.0,0.0,0.0,0.0,-14818.0
t215,16922.490010889323,2821.6307887294106,-6258.120799618733,0.0,0.0,0.0,0.0,0.0,0.0,-13486.0
t216,16087.798631936475,2633.9764782058337,-6445.77511014231,0.0,0.0,0.0,0.0,0.0,0.0,-12276.0
t217,20582.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11503.0
